record_id,date,amount,description,reference_number
BANK_0000,2025-08-04,46905,Transfer to vendor 0,REF00000
BANK_0001,2025-08-08,21049,Transfer to vendor 1,REF00001
BANK_0002,2025-08-18,49348,Transfer to vendor 2,REF00002
BANK_0003,2025-08-01,7082,Transfer to vendor 3,REF00003
BANK_0004,2025-08-20,38118,Transfer to vendor 4,REF00004
BANK_0005,2025-08-18,47590,Transfer to vendor 5,REF00005
BANK_0006,2025-08-09,43618,Transfer to vendor 6,REF00006
BANK_0007,2025-08-11,32696,Transfer to vendor 7,REF00007
BANK_0008,2025-08-04,27059,Transfer to vendor 8,REF00008
BANK_0009,2025-08-12,28526,Transfer to vendor 9,REF00009
BANK_0010,2025-08-18,35108,Transfer to vendor 10,REF00010
BANK_0011,2025-08-10,41178,Transfer to vendor 11,REF00011
BANK_0012,2025-08-02,9558,Transfer to vendor 12,REF00012
BANK_0013,2025-08-04,20256,Transfer to vendor 13,REF00013
BANK_0014,2025-08-12,46660,Transfer to vendor 14,REF00014
BANK_0015,2025-08-09,18730,Transfer to vendor 15,REF00015
BANK_0016,2025-08-18,16215,Transfer to vendor 16,REF00016
BANK_0017,2025-08-09,29867,Transfer to vendor 17,REF00017
BANK_0018,2025-08-08,8665,Transfer to vendor 18,REF00018
BANK_0019,2025-08-03,22546,Transfer to vendor 19,REF00019
BANK_0020,2025-08-07,25622,Transfer to vendor 20,REF00020
BANK_0021,2025-08-05,35071,Transfer to vendor 21,REF00021
BANK_0022,2025-08-18,41789,Transfer to vendor 22,REF00022
BANK_0023,2025-08-19,33077,Transfer to vendor 23,REF00023
BANK_0024,2025-08-17,14065,Transfer to vendor 24,REF00024
BANK_0025,2025-08-05,12185,Transfer to vendor 25,REF00025
BANK_0026,2025-08-03,44086,Transfer to vendor 26,REF00026
BANK_0027,2025-08-17,35674,Transfer to vendor 27,REF00027
BANK_0028,2025-08-21,40504,Settlement batch 28,BATCH00028
BANK_0029,2025-08-04,28868,Settlement batch 29,BATCH00029
BANK_0030,2025-08-01,24846,Settlement batch 30,BATCH00030
BANK_0031,2025-08-03,14391,Settlement batch 31,BATCH00031
BANK_0032,2025-08-20,31036,Settlement batch 32,BATCH00032
BANK_0033,2025-08-08,39430,Settlement batch 33,BATCH00033
BANK_0034,2025-08-08,16319,Settlement batch 34,BATCH00034
BANK_0035,2025-08-18,19036,Settlement batch 35,BATCH00035
BANK_0036,2025-08-07,23913,Settlement batch 36,BATCH00036
BANK_0037,2025-08-21,31666,Settlement batch 37,BATCH00037
BANK_0038,2025-08-14,15512,Settlement batch 38,BATCH00038
BANK_0039,2025-08-18,16985,Settlement batch 39,BATCH00039
BANK_0040,2025-08-01,11280,Settlement batch 40,BATCH00040
BANK_0041,2025-08-05,51317,Settlement batch 41,BATCH00041
BANK_0042,2025-08-02,25552,RZRPY SETL 01/19,
BANK_0043,2025-08-03,17178,RZRPY SETL 02/19,
BANK_0044,2025-08-02,43962,RZRPY SETL 01/19,
BANK_0045,2025-08-13,22407,RZRPY SETL 12/19,
BANK_0046,2025-08-20,35034,RZRPY SETL 19/19,
BANK_0047,2025-08-12,21009,RZRPY SETL 11/19,
BANK_0048,2025-08-18,48769,RZRPY SETL 17/19,
BANK_0049,2025-08-20,23465,RZRPY SETL 19/19,
BANK_0050,2025-08-09,37016,RZRPY SETL 08/19,
BANK_0051,2025-08-21,13573,RZRPY SETL 20/19,
BANK_0052,2025-08-05,9931,Transfer 52,REF00052
BANK_0053,2025-08-12,7614,Transfer 53,REF00053
BANK_0054,2025-08-05,45675,Transfer 54,REF00054
BANK_0055,2025-08-14,26770,Transfer 55,REF00055
BANK_0056,2025-08-07,19577,Transfer 56,REF00056
BANK_0057,2025-08-11,31113,Transfer 57,REF00057
BANK_0058,2025-08-11,40141,Transfer 58,REF00058
BANK_0059,2025-08-20,12104,Transfer 59,REF00059
BANK_0060,2025-08-07,42787,Transfer 60,REF00060
BANK_0061,2025-08-07,48950,Transfer 61,REF00061
BANK_0064,2025-08-18,24376,Orphan bank transfer 64,
BANK_0067,2025-08-10,5026,Orphan bank transfer 67,
